Label, Count, Average
Home_GotoLoginPage, 2, 597
EM_Click_Errors_Under_MarginFilters_HTML, 10, 1
Agmt_SaveTabSettlement, 10, 357
EM_Click_DynamicFilter_Under_AllFilters_MAIN, 10, 61174
Wf_GotoSettlementStatusPage, 10, 426
EM_Click_Waived_Under_SubsititutionFilter_Ajax_showActionBtn, 10, 276
EM_GotoAnyPageOfRecallUnderMarginFilters_Ajax_showActionBtnByFilter, 10, 194
EM_Click_Call_Under_MarginFilters_Ajax_getColumnSetting, 10, 426
CD_GotoClearingDashboardPage_MAIN, 10, 303
Sys_GotoCreateNewUsePage, 10, 424
Org_SaveOrgExternalCodes_MAIN, 10, 472
Opt_AddFilterAssetRule, 10, 373
Agmt_ViewAgmtToAnyPage, 10, 1727
Sys_SavePrivilegesOfTab_Optimisation, 10, 1588
Sys_SavePrivilegesOfTab_MarketData, 10, 1645
EM_Click_PartiallyBooked_Under_SubsititutionFilter_Ajax_getCountForDefaultFilters, 10, 1460
Opt_GetRankingAssetRulesId, 10, 189
EM_Click_DeliveryReturn_Under_MarginFilters_HTML, 10, 1
CD_Click_DynamicFilter_On_Trade_Tab_MAIN, 10, 413
EM_GotoAnyPageOf_Completed_Under_SubstitutionFilters, 10, 2760
Wf_ApproveTickedSecurityDataOnApprovalsManager, 1, 591
EM_GotoAnyPageOf_NoCalls_UnderMarginFilters_Ajax_showActionBtn, 10, 372
StDt_SearchCashflowRuleByName, 10, 263
StDt_AddNotNetEligRuleTemplate_Ajax_doSave, 10, 343
EM_Click_PartiallyBooked_Under_SubsititutionFilter_HTML, 10, 1
EM_Click_Issued_Under_SubsitituionFilters_Ajax_getCountForDefaultFilters, 10, 1739
EM_Click_NoCalls_Under_MarginFilters_Ajax_getCountForDefaultFilters, 10, 8099
EM_Click_Confirmed_Under_MarginFilters_Ajax_getColumnSetting, 10, 403
SearchRoleOnUserRoleApprovalPage, 10, 318
Wf_ApproveTickedEligRuleOnApprovalsManager, 1, 415
EM_GotoAnyPageOf_NoCalls_UnderMarginFilters_MAIN, 10, 41764
Agmt_GotoAgmtStatementPage, 10, 2888
Asset_SaveBondNewInstrument, 10, 4111
Sys_ViewEventLogToAnyPage, 10, 549
Sys_AddHolidayCentre, 10, 229
Wf_ViewSettlementStatusToAnyAssetType, 10, 253
StDt_UpdateInterestRate, 10, 1228
EM_GotoAnyPageOf_Confirmed_UnderMarginFilters, 10, 8041
Sys_SavePrivilegesOfTab_Organisation, 10, 1387
Opt_GetRankingAgmtRulesId, 10, 232
EM_GotoAnyPageOf_Disputes_UnderMarginFilters_Ajax_showActionBtnByFilter, 10, 184
Wf_SearchSecurityDataOnApprovalsManager, 1, 2968
EM_Click_Issued_Under_MarginFilters_MAIN, 10, 40679
WS_RunStaticDataFeedWebService, 10, 3275
EM_Click_Call_Under_MarginFilters_MAIN, 10, 22797
EM_Click_SubRequest_Under_SubsititutionFilter_HTML, 10, 1
Agmt_GotoStatementArchiveSearchPage, 10, 405
EM_Click_SubConfimation_Under_SubsititutionFilter_Ajax_getColumnSetting, 10, 390
EM_Click_Waived_Under_SubsititutionFilter_HTML, 10, 1
StDt_GotoInterestRatePage, 20, 400
Org_SaveOrgExternalCodes_Ajax, 10, 200
Org_GotoAddOrgPage_HTML, 10, 1
EM_Click_Delivery_Under_MarginFilters_MAIN, 10, 19536
Org_OrgSearch, 10, 448
MkDt_SaveFXRateByStandard, 2, 6727
EM_GotoAnyPageOf_Issued_Under_SubstitutionFilters, 10, 2852
Agmt_SaveTabProducts, 10, 640
EM_Click_Return_Under_MarginFilters_Ajax_getColumnSetting, 10, 396
EM_Click_NoCalls_Under_MarginFilters_MAIN, 10, 52144
Wf_ApproveTickedWorkflowOnApprovalsManager, 1, 499
EM_Click_Issued_Under_MarginFilters_Ajax_getCountForDefaultFilters, 10, 9009
EM_Click_Completed_Under_SubstitutionFilters_HTML, 10, 1
EM_Click_Errors_Under_MarginFilters_Ajax_getColumnSetting, 10, 205
Org_GotoOrgAddAddressPage_MAIN, 20, 229
EM_GotoAnyPageOf_Disputes_UnderMarginFilters_MAIN, 10, 24929
EM_Click_SubConfimation_Under_SubsititutionFilter_MAIN, 10, 11031
